Date,Hour,AvgDissolvedOxygenInput,AvgWaterTemperatureInput,AvgDOPercentSaturationInput,AvgDissolvedOxygenOutput,AvgWaterTemperatureOutput,AvgDOPercentSaturationOutput,OxygenInOutDiff,DateHour,DODiffIn,DODiffOut,AvgWaterSurfaceElevationInput,AvgWaterSurfaceElevationOutput,mean_GlobalSolarRadiationCampodarsego,mean_GlobalSolarRadiationLegnaro,mean_Max_AirRel_Humidity,mean_Min_AirRel_Humidity,mean_Tair_mean,sum_Precipitation,WeatherRegime,aggPrecipitation
27-Jan-2023,16,8.71041666666667,8.46408333333333,74.3855125,9.02116666666667,8.28758333333333,76.7099091666666,-0.310749999999999,27-Jan-2023 16:00:00,0.00483333333333391,0.0870833333333323,11.6841416666667,8.807,230,213,41,34,6.4,0,Dry,0
27-Jan-2023,17,8.74508333333333,8.417,74.5963276666667,9.01258333333333,8.30641666666667,76.6720101666667,-0.267499999999998,27-Jan-2023 17:00:00,0.0346666666666664,-0.00858333333333405,11.6791583333333,8.80541666666667,77,68,46,41,5.7,0,Dry,0
27-Jan-2023,18,8.80333333333333,8.39908333333333,75.0605875,8.9195,8.26575,75.8052758333333,-0.116166666666667,27-Jan-2023 18:00:00,0.058250000000001,-0.0930833333333307,11.6739583333333,8.80621666666667,0,0,52,48,4.7,0,Dry,0
27-Jan-2023,19,8.85366666666667,8.38975,75.47263725,8.82716666666667,8.19416666666667,74.8899475,0.0265000000000022,27-Jan-2023 19:00:00,0.0503333333333327,-0.092333333333336,11.6693166666667,8.80648333333333,0,0,58,52,4.3,0,Dry,0
27-Jan-2023,20,8.89891666666666,8.37016666666667,75.8223441666667,8.73183333333333,8.10425,73.91887575,0.167083333333331,27-Jan-2023 20:00:00,0.0452499999999976,-0.0953333333333308,11.6684916666667,8.80774166666667,0,0,53,51,4.4,0,Dry,0
27-Jan-2023,21,8.94175,8.34975,76.1495241666667,8.65566666666667,8.0255,73.1333195,0.286083333333332,27-Jan-2023 21:00:00,0.0428333333333342,-0.0761666666666674,11.66925,8.80458333333333,0,0,56,54,4,0,Dry,0
27-Jan-2023,22,8.94,8.35816666666667,76.150197,8.6205,7.97441666666667,72.7453001666667,0.3195,27-Jan-2023 22:00:00,-0.00174999999999947,-0.035166666666667,11.6695416666667,8.80283333333333,0,0,58,57,3.3,0,Dry,0
27-Jan-2023,23,8.93,8.34266666666667,76.0363874166667,8.59283333333333,7.94983333333333,72.4682095,0.337166666666667,27-Jan-2023 23:00:00,-0.00999999999999979,-0.0276666666666667,11.6696666666667,8.80183333333333,0,0,59,58,3.1,0,Dry,0
28-Jan-2023,0,8.92416666666667,8.33791666666667,75.9779356666667,8.57133333333333,7.93833333333334,72.2665645833333,0.352833333333333,28-Jan-2023 00:00:00,-0.00583333333333336,-0.0214999999999996,11.670075,8.80041666666667,0,0,60,59,2.9,0,Dry,0
28-Jan-2023,1,8.903,8.33875,75.7992664166667,8.61775,7.93741666666667,72.656267,0.285250000000001,28-Jan-2023 01:00:00,-0.0211666666666659,0.0464166666666657,11.6702166666667,8.80016666666667,0,0,61,61,2.8,0,Dry,0
28-Jan-2023,2,8.89516666666667,8.33258333333333,75.7212385,8.665,7.92725,73.0364151666667,0.230166666666667,28-Jan-2023 02:00:00,-0.00783333333333402,0.04725,11.6703916666667,8.81391666666666,0,0,62,61,2.9,0,Dry,0
28-Jan-2023,3,8.87983333333333,8.30966666666667,75.54864675,8.716,7.88216666666667,73.38526075,0.163833333333333,28-Jan-2023 03:00:00,-0.0153333333333343,0.0510000000000002,11.670475,8.83233333333333,0,0,66,61,2.8,0,Dry,0
28-Jan-2023,4,8.85475,8.28241666666667,75.2853488333333,8.74458333333333,7.84491666666667,73.5587565,0.110166666666665,28-Jan-2023 04:00:00,-0.0250833333333329,0.0285833333333354,11.6709083333333,8.83341666666666,0,0,68,66,2,0,Dry,0
28-Jan-2023,5,8.82725,8.26908333333333,75.0272028333333,8.75591666666667,7.845,73.6542640833333,0.0713333333333335,28-Jan-2023 05:00:00,-0.0274999999999999,0.0113333333333312,11.6717333333333,8.82475833333333,0,0,74,67,1.6,0,Dry,0
